date,category,chat_topic,count
1/1/2016,chat,Adding and editing pages and blocks,2
1/1/2016,chat,All Topics,6
1/1/2016,chat,"Billing, signup and payments",1
1/1/2016,chat,Domains and email services,2
1/1/2016,chat,Getting Started with Squarespace,1
1/1/2016,email,Adding and editing pages and blocks,68
1/1/2016,email,All Topics,368
1/1/2016,email,"Billing, signup and payments",92
1/1/2016,email,"Commerce, and managing your store",41
1/1/2016,email,Designing your site and managing your template,51
1/1/2016,email,Domains and email services,40
1/1/2016,email,"Galleries, images, and videos",19
1/1/2016,email,Getting Started with Squarespace,26
1/1/2016,email,Logging in and managing your account,21
1/1/2016,email,SEO and metrics,10
1/1/2016,emails&chats,All Topics,374
1/2/2016,chat,All Topics,1
1/2/2016,chat,Designing your site and managing your template,1
1/2/2016,email,Adding and editing pages and blocks,171
1/2/2016,email,All Topics,810
1/2/2016,email,"Billing, signup and payments",198
1/2/2016,email,"Commerce, and managing your store",58
1/2/2016,email,Designing your site and managing your template,99
1/2/2016,email,Domains and email services,92
1/2/2016,email,"Galleries, images, and videos",56
1/2/2016,email,Getting Started with Squarespace,56
1/2/2016,email,Logging in and managing your account,59
1/2/2016,email,SEO and metrics,21
1/2/2016,emails&chats,All Topics,811
1/3/2016,email,Adding and editing pages and blocks,203
1/3/2016,email,All Topics,1030
1/3/2016,email,"Billing, signup and payments",257
1/3/2016,email,"Commerce, and managing your store",48
1/3/2016,email,Designing your site and managing your template,146
1/3/2016,email,Domains and email services,129
1/3/2016,email,"Galleries, images, and videos",78
1/3/2016,email,Getting Started with Squarespace,78
1/3/2016,email,Logging in and managing your account,65
1/3/2016,email,SEO and metrics,26
1/3/2016,emails&chats,All Topics,1030
1/4/2016,chat,Adding and editing pages and blocks,446
1/4/2016,chat,All Topics,2207
1/4/2016,chat,"Billing, signup and payments",374
1/4/2016,chat,"Commerce, and managing your store",104
1/4/2016,chat,Designing your site and managing your template,337
1/4/2016,chat,Domains and email services,455
1/4/2016,chat,"Galleries, images, and videos",147
1/4/2016,chat,Getting Started with Squarespace,180
1/4/2016,chat,Logging in and managing your account,115
1/4/2016,chat,SEO and metrics,49
1/4/2016,email,Adding and editing pages and blocks,289
1/4/2016,email,All Topics,1637
1/4/2016,email,"Billing, signup and payments",483
1/4/2016,email,"Commerce, and managing your store",106
1/4/2016,email,Designing your site and managing your template,240
1/4/2016,email,Domains and email services,182
1/4/2016,email,"Galleries, images, and videos",87
1/4/2016,email,Getting Started with Squarespace,99
1/4/2016,email,Logging in and managing your account,102
1/4/2016,email,SEO and metrics,49
1/4/2016,emails&chats,All Topics,3844
1/5/2016,chat,Adding and editing pages and blocks,450
1/5/2016,chat,All Topics,2173
1/5/2016,chat,"Billing, signup and payments",322
1/5/2016,chat,"Commerce, and managing your store",87
1/5/2016,chat,Designing your site and managing your template,311
1/5/2016,chat,Domains and email services,468
1/5/2016,chat,"Galleries, images, and videos",166
1/5/2016,chat,Getting Started with Squarespace,186
1/5/2016,chat,Logging in and managing your account,122
1/5/2016,chat,SEO and metrics,61
1/5/2016,email,Adding and editing pages and blocks,295
1/5/2016,email,All Topics,1670
1/5/2016,email,"Billing, signup and payments",507
1/5/2016,email,"Commerce, and managing your store",86
1/5/2016,email,Designing your site and managing your template,216
1/5/2016,email,Domains and email services,216
1/5/2016,email,"Galleries, images, and videos",100
1/5/2016,email,Getting Started with Squarespace,107
1/5/2016,email,Logging in and managing your account,103
1/5/2016,email,SEO and metrics,40
1/5/2016,emails&chats,All Topics,3843
1/6/2016,chat,Adding and editing pages and blocks,493
1/6/2016,chat,All Topics,2094
1/6/2016,chat,"Billing, signup and payments",298
1/6/2016,chat,"Commerce, and managing your store",120
1/6/2016,chat,Designing your site and managing your template,337
1/6/2016,chat,Domains and email services,388
1/6/2016,chat,"Galleries, images, and videos",136
1/6/2016,chat,Getting Started with Squarespace,172
1/6/2016,chat,Logging in and managing your account,107
1/6/2016,chat,SEO and metrics,43
1/6/2016,email,Adding and editing pages and blocks,238
1/6/2016,email,All Topics,1407
1/6/2016,email,"Billing, signup and payments",457
1/6/2016,email,"Commerce, and managing your store",77
1/6/2016,email,Designing your site and managing your template,180
1/6/2016,email,Domains and email services,169
1/6/2016,email,"Galleries, images, and videos",87
1/6/2016,email,Getting Started with Squarespace,84
1/6/2016,email,Logging in and managing your account,82
1/6/2016,email,SEO and metrics,33
1/6/2016,emails&chats,All Topics,3501
1/7/2016,chat,Adding and editing pages and blocks,483
1/7/2016,chat,All Topics,2098
1/7/2016,chat,"Billing, signup and payments",305
1/7/2016,chat,"Commerce, and managing your store",56
1/7/2016,chat,Designing your site and managing your template,361
1/7/2016,chat,Domains and email services,381
1/7/2016,chat,"Galleries, images, and videos",180
1/7/2016,chat,Getting Started with Squarespace,168
1/7/2016,chat,Logging in and managing your account,112
1/7/2016,chat,SEO and metrics,52
1/7/2016,email,Adding and editing pages and blocks,218
1/7/2016,email,All Topics,1531
1/7/2016,email,"Billing, signup and payments",595
1/7/2016,email,"Commerce, and managing your store",78
1/7/2016,email,Designing your site and managing your template,179
1/7/2016,email,Domains and email services,146
1/7/2016,email,"Galleries, images, and videos",99
1/7/2016,email,Getting Started with Squarespace,94
1/7/2016,email,Logging in and managing your account,86
1/7/2016,email,SEO and metrics,35
1/7/2016,email,Squarespace Mobile Apps,1
1/7/2016,emails&chats,All Topics,3629
1/8/2016,chat,Adding and editing pages and blocks,403
1/8/2016,chat,All Topics,1708
1/8/2016,chat,"Billing, signup and payments",215
1/8/2016,chat,"Commerce, and managing your store",74
1/8/2016,chat,Designing your site and managing your template,283
1/8/2016,chat,Domains and email services,317
1/8/2016,chat,"Galleries, images, and videos",122
1/8/2016,chat,Getting Started with Squarespace,158
1/8/2016,chat,Logging in and managing your account,84
1/8/2016,chat,SEO and metrics,52
1/8/2016,email,Adding and editing pages and blocks,182
1/8/2016,email,All Topics,1138
1/8/2016,email,"Billing, signup and payments",372
1/8/2016,email,"Commerce, and managing your store",71
1/8/2016,email,Designing your site and managing your template,161
1/8/2016,email,Domains and email services,116
1/8/2016,email,"Galleries, images, and videos",63
1/8/2016,email,Getting Started with Squarespace,67
1/8/2016,email,Logging in and managing your account,73
1/8/2016,email,SEO and metrics,32
1/8/2016,email,Squarespace Mobile Apps,1
1/8/2016,emails&chats,All Topics,2846
1/9/2016,chat,Adding and editing pages and blocks,1
1/9/2016,chat,All Topics,3
1/9/2016,chat,Designing your site and managing your template,1
1/9/2016,chat,Logging in and managing your account,1
1/9/2016,email,Adding and editing pages and blocks,170
1/9/2016,email,All Topics,782
1/9/2016,email,"Billing, signup and payments",197
1/9/2016,email,"Commerce, and managing your store",47
1/9/2016,email,Designing your site and managing your template,110
1/9/2016,email,Domains and email services,92
1/9/2016,email,"Galleries, images, and videos",50
1/9/2016,email,Getting Started with Squarespace,53
1/9/2016,email,Logging in and managing your account,43
1/9/2016,email,SEO and metrics,20
1/9/2016,emails&chats,All Topics,785
1/10/2016,chat,All Topics,1
1/10/2016,chat,"Galleries, images, and videos",1
1/10/2016,email,Adding and editing pages and blocks,163
1/10/2016,email,All Topics,845
1/10/2016,email,"Billing, signup and payments",214
1/10/2016,email,"Commerce, and managing your store",51
1/10/2016,email,Designing your site and managing your template,130
1/10/2016,email,Domains and email services,112
1/10/2016,email,"Galleries, images, and videos",63
1/10/2016,email,Getting Started with Squarespace,56
1/10/2016,email,Logging in and managing your account,37
1/10/2016,email,SEO and metrics,19
1/10/2016,emails&chats,All Topics,846
1/11/2016,chat,Adding and editing pages and blocks,556
1/11/2016,chat,All Topics,2368
1/11/2016,chat,"Billing, signup and payments",343
1/11/2016,chat,"Commerce, and managing your store",115
1/11/2016,chat,Designing your site and managing your template,394
1/11/2016,chat,Domains and email services,440
1/11/2016,chat,"Galleries, images, and videos",132
1/11/2016,chat,Getting Started with Squarespace,200
1/11/2016,chat,Logging in and managing your account,134
1/11/2016,chat,SEO and metrics,54
1/11/2016,email,Adding and editing pages and blocks,316
1/11/2016,email,All Topics,1815
1/11/2016,email,"Billing, signup and payments",545
1/11/2016,email,"Commerce, and managing your store",90
1/11/2016,email,Designing your site and managing your template,265
1/11/2016,email,Domains and email services,203
1/11/2016,email,"Galleries, images, and videos",116
1/11/2016,email,Getting Started with Squarespace,119
1/11/2016,email,Logging in and managing your account,117
1/11/2016,email,SEO and metrics,44
1/11/2016,emails&chats,All Topics,4183
1/12/2016,chat,Adding and editing pages and blocks,476
1/12/2016,chat,All Topics,2231
1/12/2016,chat,"Billing, signup and payments",324
1/12/2016,chat,"Commerce, and managing your store",112
1/12/2016,chat,Designing your site and managing your template,372
1/12/2016,chat,Domains and email services,427
1/12/2016,chat,"Galleries, images, and videos",152
1/12/2016,chat,Getting Started with Squarespace,195
